Feature
firstorder_InterquartileRange
firstorder_Uniformity
firstorder_Median
firstorder_Energy
firstorder_RobustMeanAbsoluteDeviation
firstorder_MeanAbsoluteDeviation
firstorder_TotalEnergy
firstorder_Maximum
firstorder_90Percentile
firstorder_Minimum
firstorder_Entropy
firstorder_Range
firstorder_10Percentile
firstorder_Mean
shape_VoxelVolume
shape_Maximum3DDiameter
shape_MajorAxisLength
shape_Sphericity
shape_LeastAxisLength
shape_Elongation
shape_SurfaceVolumeRatio
shape_Maximum2DDiameterSlice
shape_Flatness
shape_SurfaceArea
shape_MinorAxisLength
shape_Maximum2DDiameterColumn
shape_Maximum2DDiameterRow
glcm_JointAverage
glcm_SumAverage
glcm_JointEntropy
glcm_Idmn
glcm_Autocorrelation
glcm_SumEntropy
glcm_SumSquares
glcm_ClusterTendency
glszm_GrayLevelVariance
glszm_ZoneVariance
glszm_SizeZoneNonUniformity
glszm_GrayLevelNonUniformity
glszm_LargeAreaEmphasis
glszm_SmallAreaHighGrayLevelEmphasis
glszm_ZonePercentage
glszm_LargeAreaHighGrayLevelEmphasis
glszm_HighGrayLevelZoneEmphasis
gldm_HighGrayLevelEmphasis
gldm_DependenceNonUniformity
gldm_GrayLevelNonUniformity
gldm_SmallDependenceEmphasis
gldm_SmallDependenceHighGrayLevelEmphasis
gldm_DependenceNonUniformityNormalized
gldm_SmallDependenceLowGrayLevelEmphasis
glrlm_GrayLevelNonUniformityNormalized
glrlm_GrayLevelNonUniformity
glrlm_ShortRunHighGrayLevelEmphasis
glrlm_RunLengthNonUniformity
glrlm_ShortRunEmphasis
glrlm_LongRunHighGrayLevelEmphasis
glrlm_RunPercentage
glrlm_RunEntropy
glrlm_HighGrayLevelRunEmphasis
glrlm_RunLengthNonUniformityNormalized
ngtdm_Coarseness
ngtdm_Complexity
ngtdm_Contrast
ngtdm_Busyness
log.sigma.5.0.mm.3D_firstorder_Median
log.sigma.5.0.mm.3D_firstorder_Energy
log.sigma.5.0.mm.3D_firstorder_TotalEnergy
log.sigma.5.0.mm.3D_firstorder_Maximum
log.sigma.5.0.mm.3D_firstorder_RootMeanSquared
log.sigma.5.0.mm.3D_firstorder_90Percentile
log.sigma.5.0.mm.3D_firstorder_Minimum
log.sigma.5.0.mm.3D_firstorder_Entropy
log.sigma.5.0.mm.3D_firstorder_Range
log.sigma.5.0.mm.3D_firstorder_10Percentile
log.sigma.5.0.mm.3D_firstorder_Mean
log.sigma.5.0.mm.3D_glcm_JointAverage
log.sigma.5.0.mm.3D_glcm_SumAverage
log.sigma.5.0.mm.3D_glcm_JointEntropy
log.sigma.5.0.mm.3D_glcm_MaximumProbability
log.sigma.5.0.mm.3D_glcm_Idmn
log.sigma.5.0.mm.3D_glcm_Contrast
log.sigma.5.0.mm.3D_glcm_InverseVariance
log.sigma.5.0.mm.3D_glcm_Idn
log.sigma.5.0.mm.3D_glcm_Correlation
log.sigma.5.0.mm.3D_glcm_Autocorrelation
log.sigma.5.0.mm.3D_glcm_SumEntropy
log.sigma.5.0.mm.3D_glcm_Imc2
log.sigma.5.0.mm.3D_glrlm_RunVariance
log.sigma.5.0.mm.3D_glrlm_GrayLevelNonUniformity
log.sigma.5.0.mm.3D_glrlm_LongRunEmphasis
log.sigma.5.0.mm.3D_glrlm_ShortRunHighGrayLevelEmphasis
log.sigma.5.0.mm.3D_glrlm_RunLengthNonUniformity
log.sigma.5.0.mm.3D_glrlm_ShortRunEmphasis
log.sigma.5.0.mm.3D_glrlm_LongRunHighGrayLevelEmphasis
log.sigma.5.0.mm.3D_glrlm_RunPercentage
log.sigma.5.0.mm.3D_glrlm_RunEntropy
log.sigma.5.0.mm.3D_glrlm_HighGrayLevelRunEmphasis
log.sigma.5.0.mm.3D_gldm_HighGrayLevelEmphasis
log.sigma.5.0.mm.3D_gldm_DependenceEntropy
log.sigma.5.0.mm.3D_gldm_DependenceNonUniformity
log.sigma.5.0.mm.3D_gldm_GrayLevelNonUniformity
log.sigma.5.0.mm.3D_gldm_SmallDependenceHighGrayLevelEmphasis
log.sigma.5.0.mm.3D_gldm_DependenceNonUniformityNormalized
log.sigma.5.0.mm.3D_gldm_LargeDependenceEmphasis
log.sigma.5.0.mm.3D_gldm_DependenceVariance
log.sigma.5.0.mm.3D_gldm_LargeDependenceHighGrayLevelEmphasis
log.sigma.5.0.mm.3D_gldm_SmallDependenceLowGrayLevelEmphasis
log.sigma.5.0.mm.3D_glszm_GrayLevelVariance
log.sigma.5.0.mm.3D_glszm_ZoneVariance
log.sigma.5.0.mm.3D_glszm_SizeZoneNonUniformityNormalized
log.sigma.5.0.mm.3D_glszm_SizeZoneNonUniformity
log.sigma.5.0.mm.3D_glszm_GrayLevelNonUniformity
log.sigma.5.0.mm.3D_glszm_LargeAreaEmphasis
log.sigma.5.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis
